209228 15160
217597 13967
191053 15922
191007 16465
180688 16466
169045 16927
151838 17533
134029 20009
160026 17273
138314 19510
131896 20472
103910 21392
97095 25251
83859 28156
82509 28712
89759 27465
74317 31218
81613 30587
73685 32512
75129 30732
64959 37242
60740 39320
68964 34295
65948 34577
65606 36150
57965 40064
58164 39732
64530 37540
57273 40693
62366 38767
52916 43102
54608 42142
48109 45990
51299 44277
46260 48427
44536 49772
42175 50200
39704 56718
35848 63451
38630 57341
37998 60659
34414 67308
37196 61429
35273 64943
33355 67360
33352 67462
31048 69007
31594 67877
27444 83431
28876 78173
29886 72662
29999 70740
27850 82089
25864 89939
24098 99572
22693 105490
21792 113788
24129 90684
21747 116476
22093 112457
21790 116463
21274 121258
20526 121651
19970 136080
20459 132280
18694 142715
18158 153514
19672 139699
17309 154807
15972 185082
16662 177144
